PASSENGERS,ORIGIN,DEST,YEAR,MONTH
0,FAI,ATK,2018,3
0,FAI,ATT,2018,3
0,FAI,BET,2018,3
0,FAI,BKC,2018,3
0,FAI,BRW,2018,3
0,FAI,CYF,2018,3
0,FAI,DRG,2018,3
0,FAI,EEK,2018,3
0,FAI,EMK,2018,3
0,FAI,ENA,2018,3
0,FAI,HCR,2018,3
0,FAI,HOM,2018,3
0,FAI,HPB,2018,3
0,FAI,IAN,2018,3
0,FAI,KGX,2018,3
0,FAI,KKH,2018,3
0,FAI,KLG,2018,3
0,FAI,KOT,2018,3
0,FAI,KPN,2018,3
0,FAI,KTS,2018,3
0,FAI,MCG,2018,3
0,FAI,MLL,2018,3
0,FAI,NME,2018,3
0,FAI,NUI,2018,3
0,FAI,OBU,2018,3
0,FAI,OME,2018,3
0,FAI,ORV,2018,3
0,FAI,OTZ,2018,3
0,FAI,PHO,2018,3
0,FAI,PIZ,2018,3
0,FAI,PPC,2018,3
0,FAI,PQS,2018,3
0,FAI,SHX,2018,3
0,FAI,SMK,2018,3
0,FAI,TNK,2018,3
0,FAI,UNK,2018,3
0,FAI,VDZ,2018,3
0,FAI,WBB,2018,3
0,FAI,WMO,2018,3
0,FAI,WTK,2018,3
0,FAI,WWT,2018,3
0,HOM,ADQ,2018,3
0,HOM,BRW,2018,3
0,HOM,ENA,2018,3
0,HOM,FAI,2018,3
0,HOM,KSM,2018,3
0,HOM,KWK,2018,3
0,HOM,OTZ,2018,3
0,HOM,PQS,2018,3
0,HOM,SCC,2018,3
0,HOM,SMK,2018,3
0,HOM,VDZ,2018,3
0,HOM,WWT,2018,3
0,KSM,ENA,2018,3
0,KSM,FAI,2018,3
0,KSM,OME,2018,3
0,OTZ,BTI,2018,3
0,OTZ,ENA,2018,3
0,OTZ,FAI,2018,3
0,OTZ,NME,2018,3
0,OTZ,WTK,2018,3
0,SCC,AKP,2018,3
0,SCC,ENA,2018,3
0,SCC,HOM,2018,3
0,SCC,IAN,2018,3
0,SCC,VDZ,2018,3
0,UNK,FAI,2018,3
0,UNK,OME,2018,3
0,VDZ,BET,2018,3
0,VDZ,ENA,2018,3
0,VDZ,FAI,2018,3
0,VDZ,HOM,2018,3
0,AUS,BUR,2018,5
0,AVL,BUR,2018,5
0,BUR,EGE,2018,5
0,BUR,LAX,2018,5
0,BUR,SBA,2018,5
0,BUR,TRM,2018,5
0,BUR,VNY,2018,5
0,GSP,AVL,2018,5
0,ANC,LAX,2018,5
0,ANC,ORD,2018,5
0,ATL,SDF,2018,5
0,CLE,SDF,2018,5
0,DFW,DFW,2018,5
0,DFW,SDF,2018,5
0,DTW,SDF,2018,5
0,LAX,ANC,2018,5
0,LAX,DOV,2018,5
0,MIA,MIA,2018,5
0,MIA,NGU,2018,5
0,MIA,SDF,2018,5
0,ORD,ANC,2018,5
0,ORD,BFK,2018,5
0,ORD,SDF,2018,5
0,ORD,YUM,2018,5
0,RSW,LAX,2018,5
0,RSW,ORD,2018,5
0,RSW,SDF,2018,5
0,SDF,ATL,2018,5
0,SDF,CLE,2018,5
0,SDF,COS,2018,5
0,SDF,DFW,2018,5
0,SDF,DTW,2018,5
0,SDF,GUS,2018,5
0,SDF,ORD,2018,5
0,SDF,SDF,2018,5
0,MTM,WFB,2018,6
0,WFB,KCC,2018,6
0,FAI,BTT,2018,6
0,FAI,OBU,2018,6
0,ADK,ANC,2018,6
0,ADQ,ANC,2018,6
0,ADQ,JNU,2018,6
0,ADQ,SEA,2018,6
0,ANC,ADK,2018,6
0,ANC,ADQ,2018,6
0,ANC,BET,2018,6
0,ANC,BRW,2018,6
0,ANC,CDV,2018,6
0,ANC,DLG,2018,6
0,ANC,JNU,2018,6
0,ANC,KTN,2018,6
0,ANC,OME,2018,6
0,ANC,OTZ,2018,6
